index,id,CAP,astroturf,fake_follower,financial,other,overall,self-declared,spammer,type
0,3039154799,0.7828265255249504,0.1,1.8,1.4,3.2,1.4,0.4,0.2,1
1,390617262,1.0,0.8,1.4,1.0,5.0,5.0,0.2,0.4,0
2,4611389296,0.7334998320027682,0.2,0.6,0.1,1.8,1.1,0.0,0.2,1
3,734396807745286145,0.2603678379426137,0.0,0.0,0.0,0.2,0.1,0.0,0.0,1
4,1010978324569640960,0.9077975241648624,1.2,2.7,2.8,4.8,4.8,0.3,0.4,0
5,1012447780504326145,0.6915799517497913,0.4,1.8,0.1,1.6,1.0,0.0,0.2,1
6,1012258265772720128,0.859576255252869,0.4,2.4,1.8,4.4,4.4,0.3,0.4,0
7,968196446,0.7527121552274618,0.4,0.6,1.0,2.2,1.2,0.2,0.1,1
8,1012049887947456512,0.8912318555080615,0.7,2.6,1.2,4.6,4.6,0.4,1.4,0
9,1011995299622064131,0.8339181685112829,0.6,2.8,1.2,4.2,4.2,0.3,0.6,1
10,2890342662,0.7967905786038864,0.9,2.5,0.8,2.9,2.9,2.0,1.2,1
11,720666928055001088,0.8076035454448582,0.6,2.0,0.2,3.9,3.9,0.0,0.6,0
12,1010968620866965506,0.7968624754031172,0.4,2.1,0.8,3.4,3.4,0.0,0.8,0
13,1704716070,0.4658392474232361,0.3,0.4,0.1,0.6,0.4,0.0,0.0,1
14,1010610247789096960,0.797053679565984,0.5,2.8,0.4,2.0,2.8,0.2,1.4,0
15,1154282738,0.8885263643630983,0.6,1.3,1.4,4.6,4.6,0.4,0.1,0
16,1012070142719774720,0.8474634546636374,0.8,1.6,0.8,4.4,4.4,1.4,1.3,0
17,883611156228825088,0.7852210697594887,0.6,1.6,0.5,3.1,1.6,0.9,0.6,1
18,1011189105923784704,0.9373635156266058,0.9,2.1,1.8,5.0,5.0,1.4,0.8,0
19,1012089312794509312,0.8327856038833207,0.6,2.0,0.2,4.2,4.2,0.5,0.6,1
20,1011238575399165959,0.8055586579935085,0.6,1.8,0.6,3.4,3.4,0.4,0.8,1
21,406457303,0.7176911080698488,1.8,0.2,0.2,1.9,1.1,0.0,0.0,1
22,959255458774122496,0.904303821618659,0.6,2.7,1.8,4.8,4.8,1.2,0.9,1
23,4655510439,0.3626456412463227,0.6,0.2,0.4,1.6,0.3,0.0,0.0,1
24,3119392109,0.5488888157824968,0.6,1.4,0.2,2.6,0.6,0.0,0.1,1
25,1010882400325431298,0.8808312676897403,0.6,2.4,2.0,4.6,4.6,0.2,0.2,1
26,1010605695601963008,0.8662905376040458,0.6,2.0,0.3,4.5,4.5,1.4,1.3,0
27,809795080429142017,0.8670116134145492,0.8,2.4,2.3,4.5,4.5,0.1,0.8,0
28,1012132071073112064,0.8808312676897403,0.6,1.8,0.8,4.6,4.6,0.1,0.8,0
29,975703783475949568,0.8662905376040458,1.2,2.1,0.4,4.5,4.5,0.4,0.8,0
30,1001873627506233346,0.8339181685112829,0.7,2.1,1.2,4.2,4.2,0.4,0.2,1
31,327555341,0.8057684213303521,0.2,0.4,0.2,3.4,3.4,0.0,0.2,0
32,1005146327523713024,0.7219510972984345,0.4,1.2,0.2,2.6,1.0,0.3,0.4,1
33,1012607637026983936,0.8076035454448582,0.2,2.0,0.4,3.9,3.9,0.0,0.8,0
34,630459182,0.5742686032713971,0.4,0.4,0.0,2.0,0.6,0.0,0.0,1
35,883724976158887938,0.7897432630001835,0.5,0.6,1.0,2.9,1.6,0.0,0.1,0
36,3007724008,0.91215021741272,0.4,2.4,2.0,4.8,4.8,0.7,0.6,0
37,916187275133890565,0.91215021741272,0.6,3.3,1.8,4.8,4.8,1.2,0.6,0
38,4034721759,0.7966241294741505,0.1,0.4,0.0,3.2,1.7,0.2,0.2,0
39,1459595030,0.8808312676897403,0.8,2.6,0.7,4.6,4.6,0.7,0.6,0
40,585091018,0.2884638969541196,0.0,0.0,0.0,0.5,0.2,0.0,0.0,1
41,391505537,0.3173945013556645,0.3,0.4,0.0,0.2,0.2,0.0,0.0,1
42,834490192954290178,0.9338419498718862,0.6,2.3,1.6,5.0,5.0,1.6,0.2,0
43,2363684405,0.760577756485164,1.2,0.6,0.0,3.2,1.2,0.0,0.0,1
44,4082476475,0.7089830786080018,0.2,2.2,1.0,2.8,1.0,0.0,0.2,1
45,2982392825,1.0,0.2,1.2,1.3,5.0,5.0,0.2,0.1,0
46,1063319761,0.7989890411370751,3.4,3.2,0.1,3.6,3.6,0.0,0.2,1
47,2918674683,1.0,0.8,1.4,1.0,5.0,5.0,0.2,0.4,0
48,728183118457384960,0.9338419498718862,0.8,1.5,0.8,5.0,5.0,0.6,0.2,0
49,1698808080,0.9197876419218656,0.7,1.4,1.4,4.8,4.8,0.8,0.2,0
50,1000351128389865477,0.7287106185584935,0.0,0.8,0.4,1.7,1.2,0.0,0.0,1
51,901802279623417856,0.7527121552274618,0.4,0.8,0.0,2.8,1.2,0.0,0.2,1
52,2298056467,0.4658392474232361,0.1,0.7,0.0,1.6,0.4,0.0,0.0,1
53,585560662,0.6608500314332488,0.2,0.6,0.8,2.0,0.8,0.0,0.0,1
54,550410719,0.8193478253485871,0.3,0.8,0.0,4.0,4.0,0.1,0.1,0
55,819902175619022849,0.8052478284119403,1.4,0.8,0.0,3.2,3.2,0.3,0.4,1
56,329134629,0.8052478284119403,0.4,0.6,0.2,3.2,3.2,0.0,0.0,0
57,868185435293585410,0.859576255252869,0.8,1.8,0.2,4.4,4.4,1.1,0.2,1
58,1202102875,0.2333243237063545,0.0,0.0,0.0,0.2,0.0,0.0,0.0,1
59,125072714,0.813043153461001,0.4,0.5,0.1,3.8,3.8,0.0,0.2,0
60,202212121,0.8662905376040458,0.4,0.4,0.0,4.5,4.5,0.0,0.0,0
61,1244391379,0.8060512678410475,1.7,2.3,1.2,3.4,3.4,2.5,0.4,1
62,3291561425,0.8091273704655436,0.2,0.6,0.2,3.7,3.7,0.0,0.2,0
63,824903248599355395,1.0,0.6,0.6,0.8,5.0,5.0,0.2,0.2,0
64,825380362226429953,1.0,0.7,0.6,0.5,5.0,5.0,0.2,0.4,0
65,1012063518659698690,0.904303821618659,0.9,1.0,0.2,4.8,4.8,1.4,0.2,1
66,830683244,0.5742686032713971,0.4,0.8,0.0,2.2,0.6,0.0,0.2,1
67,4352856142,0.8030212452554465,0.0,1.2,0.2,2.2,2.0,0.4,1.2,1
68,867072457215279104,0.8054784364249085,0.2,2.9,3.4,3.8,3.8,2.0,1.4,1
69,831914104507990016,0.91215021741272,0.6,1.6,1.0,4.8,4.8,0.2,0.6,0
70,1006066460,1.0,1.0,2.4,1.6,5.0,5.0,0.9,0.0,0
71,868401085802852352,0.9197876419218656,0.4,2.8,1.4,4.8,4.8,1.2,0.4,0
72,425943636,0.7334998320027682,0.2,0.3,0.2,3.3,1.1,0.2,0.1,1
73,2579632449,0.7437205366967014,0.2,0.6,0.6,2.1,1.2,0.0,0.0,1
74,970583174349840384,0.4944907274828369,0.1,0.2,0.2,1.4,0.5,0.0,0.2,1
75,4836438088,0.4658392474232361,0.4,0.6,0.0,1.6,0.4,0.0,0.0,1
76,202305873,0.8474634546636374,0.4,0.8,0.9,4.4,4.4,0.2,0.3,0
77,971374169781882881,0.8060512678410475,0.5,1.2,0.9,3.4,3.4,0.0,0.4,1
78,1244668758,0.6608500314332488,0.5,0.3,0.2,2.2,0.8,0.0,0.1,1
79,1086442256,0.8252572897541253,0.8,1.3,0.2,4.1,4.1,0.0,0.0,1
80,732212397654609920,0.8474634546636374,0.6,2.4,2.3,4.4,4.4,0.7,0.2,0
81,1123481,0.2884638969541196,0.4,0.3,0.2,0.6,0.2,0.0,0.0,1
82,606417584,0.8102129289660348,1.3,2.4,0.2,3.8,3.8,0.2,0.1,1
83,3500831,0.3173945013556645,1.1,0.2,0.0,1.4,0.2,0.0,0.0,1
84,3070640794,0.9338419498718862,0.6,0.6,0.6,5.0,5.0,0.3,0.2,0
85,306412249,0.2884638969541196,0.4,0.9,0.0,0.8,0.2,0.0,0.0,1
86,827909004923801600,0.91215021741272,0.7,0.6,0.6,4.8,4.8,0.0,0.3,0
87,595356862,0.5222398722127631,0.4,0.0,0.0,0.7,0.6,0.0,0.0,1
88,625712362,0.7219510972984345,1.2,0.7,0.0,2.4,1.0,0.0,0.0,1
89,3407591541,0.9197876419218656,0.8,1.8,1.3,4.8,4.8,0.6,0.1,0
90,831165187994574850,0.9338419498718862,0.5,1.4,0.7,5.0,5.0,0.6,0.2,0
91,2918691515,1.0,0.9,1.5,1.0,5.0,5.0,0.1,0.4,0
92,2837970855,0.8091273704655436,1.0,2.2,1.0,3.7,3.7,1.2,0.8,0
93,2992407304,0.7982287282125168,2.0,2.3,0.0,2.4,1.8,0.2,0.1,1
94,996455315796262916,0.4365081483009443,0.1,0.2,0.1,1.1,0.4,0.0,0.2,0
95,461015426,0.7219510972984345,0.2,0.3,0.1,3.0,1.0,0.0,0.0,0
96,2323994683,0.91215021741272,0.4,0.3,0.4,4.8,4.8,0.0,0.3,0
97,2896312810,0.8102129289660348,0.5,0.8,0.2,3.8,3.8,0.2,0.0,0
98,177548621,0.3173945013556645,0.1,0.5,0.0,0.9,0.2,0.0,0.2,1
99,728911567589363712,0.7546218700467833,0.8,0.9,0.4,2.8,1.3,0.2,0.6,1
100,2968800676,0.7546218700467833,0.2,1.0,1.0,2.4,1.3,0.0,0.3,1
101,2217834630,0.5982419966968565,0.1,0.2,0.2,1.8,0.7,0.0,0.0,1
102,845712063251054592,0.760577756485164,0.3,0.8,0.4,2.9,1.2,0.0,0.0,1
103,2982506153,1.0,0.5,1.2,0.8,5.0,5.0,0.1,0.1,0
104,839937500101627904,0.91215021741272,0.0,0.3,0.4,4.8,4.8,0.0,0.0,0
105,2799576867,0.4365081483009443,1.5,0.3,0.1,2.2,0.4,0.0,0.0,1
106,1009859481214341120,0.7897432630001835,0.1,0.8,0.4,2.9,1.6,0.0,0.2,1
107,974981520984346626,0.8733944954488508,0.8,1.0,0.9,4.6,4.6,0.0,0.6,0
108,979300010843168772,0.9270685798190942,0.6,3.3,1.6,4.9,4.9,1.8,0.2,0
109,231999899,0.8288069415530707,0.6,0.8,0.0,4.1,4.1,0.0,0.0,0
110,1362279283,0.0,0.6,0.2,0.0,0.1,0.0,0.0,0.0,1
111,4826949964,0.9197876419218656,0.6,1.6,1.6,4.8,4.8,0.5,0.4,0
112,2560586103,0.3469210182245441,0.4,0.6,0.0,1.0,0.2,0.0,0.0,1
113,855136163849482240,0.7897432630001835,0.2,0.7,1.0,2.9,1.6,0.0,0.0,0
114,932924905,0.9270685798190942,0.6,1.9,2.0,4.9,4.9,0.7,0.2,0
115,486025962,0.2333243237063545,0.2,0.0,0.0,0.6,0.0,0.0,0.0,1
116,2269447992,0.8252572897541253,0.6,1.0,0.2,4.1,4.1,0.1,0.1,0
117,327555253,0.9197876419218656,0.4,0.3,0.4,4.8,4.8,0.0,0.1,0
118,1002691095829057538,0.5222398722127631,1.6,1.2,0.0,2.7,0.6,0.0,0.0,0
119,548662037,0.9338419498718862,0.7,1.4,1.2,5.0,5.0,0.3,0.2,0
120,765890238946443264,0.5488888157824968,0.4,0.8,0.0,0.9,0.6,0.0,0.0,1
121,825395422147522560,0.8054092120440788,0.2,0.4,0.2,3.3,3.3,0.1,0.1,0
122,4353158674,0.6415870166679795,0.3,0.4,0.0,1.7,0.8,0.0,0.0,1
123,989748219776126978,0.82211302959919,0.3,1.6,0.8,4.1,4.1,0.4,0.2,1
124,905405149614624769,0.8060512678410475,0.0,0.8,0.0,3.4,3.4,0.0,0.1,0
125,966343682,0.8023863559365568,0.2,0.4,0.0,2.9,2.0,0.1,0.0,0
126,603005791,0.4365081483009443,0.4,0.3,0.3,1.9,0.4,0.0,0.0,1
127,2939550185,0.7865642668428161,1.0,0.8,0.1,3.4,1.5,0.0,0.1,1
128,1109829834,0.801617083559931,2.2,0.8,0.1,2.7,1.9,0.2,0.1,1
129,974977242165055488,0.8054092120440788,1.6,0.8,0.0,3.3,3.3,0.0,0.2,1
130,840552254851678211,0.7967247202742335,0.6,1.4,0.6,3.0,3.0,0.5,1.2,0
131,2199622261,0.3173945013556645,0.5,0.0,0.0,0.6,0.2,0.0,0.1,1
132,424907383,0.7865642668428161,1.0,0.7,0.4,2.5,1.5,0.0,0.0,1
133,977928174582616064,0.5222398722127631,0.4,0.2,0.0,0.4,0.6,0.1,0.0,1
134,327674514,0.904303821618659,0.8,1.0,0.8,4.8,4.8,0.0,0.2,0
135,1331398375,0.2884638969541196,0.4,0.0,0.0,1.2,0.2,0.0,0.0,1
136,333431378,0.4944907274828369,1.3,1.4,0.4,1.7,0.5,0.0,0.0,1
137,825698658695905280,0.8372129323854712,0.5,0.6,0.6,4.2,4.2,0.0,0.4,0
138,554539740,0.8963872382550993,0.4,0.4,0.4,4.7,4.7,0.0,0.4,0
139,989116382611755009,0.8252572897541253,0.5,1.8,0.4,4.1,4.1,0.4,0.6,1
140,729045489665052672,0.5742686032713971,0.2,0.8,0.1,1.4,0.6,0.2,1.2,1
141,1011956312580804608,0.923535423667034,0.6,2.5,1.8,4.8,4.8,0.2,0.4,0
142,2211763337,0.9197876419218656,0.4,0.9,0.5,4.8,4.8,0.0,0.1,0
143,782534791975563264,0.376789963905683,0.0,0.2,0.0,1.2,0.3,0.0,0.0,1
144,2797764234,0.7674214324358889,0.2,0.3,0.0,2.7,1.3,0.2,0.2,0
145,2339156160,0.7674214324358889,0.5,2.0,1.2,2.7,1.3,0.1,0.2,0
146,1011987366582603776,0.8733944954488508,0.8,2.7,1.4,4.6,4.6,0.4,0.7,0
147,2349112225,0.8052478284119403,0.2,0.2,0.5,3.2,3.2,0.0,0.1,0
148,755328987795165184,0.8023863559365568,1.4,1.4,0.9,3.0,2.0,0.1,0.3,1
149,2998480923,0.8963872382550993,0.4,0.4,0.4,4.7,4.7,0.1,0.2,0
150,926532287675731976,0.8963872382550993,0.4,4.0,2.0,4.7,4.7,2.7,1.2,0
151,2998555053,0.8885263643630983,0.4,0.2,0.3,4.6,4.6,0.1,0.1,0
152,2982782446,1.0,0.2,1.3,1.3,5.0,5.0,0.2,0.2,0
153,448110696,0.9338419498718862,0.4,1.4,1.2,5.0,5.0,0.2,0.0,0
154,2982546107,0.8885263643630983,0.6,0.6,0.8,4.6,4.6,0.4,2.2,0
155,911509904795545600,0.8885263643630983,0.8,2.7,1.2,4.6,4.6,2.4,0.3,1
156,704820933027045376,0.3469210182245441,0.3,0.0,0.0,0.8,0.2,0.0,0.0,1
157,700244333,0.4658392474232361,0.4,0.4,0.6,1.4,0.4,0.0,0.0,1
158,826000575657549825,0.8372129323854712,0.1,0.4,0.3,4.2,4.2,0.0,0.1,0
159,950998000742141952,0.5488888157824968,0.2,0.4,0.1,1.2,0.6,0.2,0.0,1
160,276497372,0.376789963905683,0.5,0.0,0.0,1.1,0.3,0.0,0.0,1
161,2982795550,1.0,0.8,1.4,1.0,5.0,5.0,0.2,0.4,0
162,991332558,0.8006881983123656,0.2,1.3,0.6,2.9,1.8,0.4,0.3,1
163,2976241827,0.40673978557586,0.8,0.7,0.2,0.8,0.4,0.0,0.0,1
164,489519253,0.5982419966968565,0.1,0.3,0.0,0.7,0.7,0.0,0.0,1
165,3092010165,0.5982419966968565,1.6,0.7,0.0,2.4,0.7,0.0,0.0,1
166,3290568658,0.8036706514015852,0.2,2.0,0.6,3.8,3.8,0.2,0.6,0
167,2982443524,1.0,0.4,1.9,1.8,5.0,5.0,0.8,0.2,0
168,3224618207,0.799570188835745,0.4,1.6,0.6,2.8,1.8,0.0,0.2,1
169,573568763,0.7865642668428161,0.6,2.4,0.6,2.9,1.5,0.0,0.4,1
170,838435964922052608,0.9197876419218656,0.4,0.6,0.4,4.8,4.8,0.2,1.2,0
171,2419259186,0.3469210182245441,0.1,0.4,0.0,0.6,0.2,0.0,0.0,1
172,3122007425,0.2520419704315795,0.1,0.1,0.0,0.1,0.1,0.0,0.0,1
173,1571230602,0.8532920387559139,0.4,2.2,1.3,4.4,4.4,0.8,0.2,1
174,202206667,0.8372129323854712,0.3,0.4,0.1,4.2,4.2,0.0,0.0,0
175,2930775934,0.82211302959919,0.8,1.6,0.6,4.1,4.1,0.0,0.2,0
176,812590099024199680,0.2603678379426137,0.0,0.1,0.0,0.8,0.1,0.0,0.0,1
177,560954476,0.8068955728616037,0.5,0.4,0.2,3.6,3.6,0.0,0.0,0
178,423240463,0.8052109974132647,0.2,0.5,0.0,3.1,3.1,0.0,0.1,0
179,2385911950,0.2884638969541196,0.2,0.2,0.0,1.2,0.2,0.0,0.0,1
180,797499926594908160,0.6415870166679795,0.2,0.8,0.2,2.0,0.8,0.0,0.2,1
181,926348944686419968,0.8023863559365568,1.4,1.8,0.0,2.8,2.0,0.5,0.2,1
182,1011723273057554438,0.8808312676897403,0.4,2.7,1.8,4.6,4.6,1.4,0.2,1
183,1011975267915575297,0.8912318555080615,0.7,1.8,2.2,4.6,4.6,1.2,0.3,0
184,1012138187576180736,0.8053429027352532,0.2,1.8,0.3,1.8,2.8,0.8,2.8,1
185,534504035,0.4944907274828369,0.9,0.0,0.0,0.7,0.5,0.0,0.0,1
186,986192376241770499,0.8039704121290502,0.1,2.8,1.1,2.9,2.1,0.4,0.2,1
187,1012302562660405248,0.8662905376040458,0.6,2.0,0.4,4.5,4.5,0.7,0.4,0
188,726108618051997696,0.5982419966968565,0.3,0.4,0.1,0.6,0.7,0.0,0.0,1
189,2989418577,0.8421031637823202,0.2,0.2,0.0,4.3,4.3,0.0,0.2,0
190,972790109325099008,0.5222398722127631,0.5,0.9,0.0,2.0,0.6,0.0,0.2,1
191,814176367,0.5982419966968565,1.2,0.2,0.1,1.4,0.7,0.0,0.2,0
192,1011716963498909696,0.7470839770895665,0.0,0.4,0.6,1.8,1.2,0.0,0.2,1
193,893832219873206273,0.9270685798190942,0.9,2.6,1.6,4.9,4.9,2.1,0.4,0
194,228744087,0.4944907274828369,0.4,1.0,0.0,2.1,0.5,0.0,0.0,0
195,883056345200635904,0.4944907274828369,0.0,0.6,0.0,1.4,0.5,0.0,0.0,1
196,950483930003771392,0.8733944954488508,0.3,0.2,0.2,4.6,4.6,0.1,0.3,0
197,752099077756686336,0.813043153461001,0.4,2.0,0.4,3.8,3.8,0.1,0.2,1
198,831785890552877062,0.9270685798190942,0.6,1.8,1.5,4.9,4.9,1.0,0.3,0
199,2376525880,0.8808312676897403,0.8,2.9,1.0,4.6,4.6,0.6,0.2,0
200,2704478260,0.8885263643630983,0.4,1.3,1.6,4.6,4.6,0.7,0.2,0
201,278767989,0.8532920387559139,1.4,1.6,1.3,4.4,4.4,3.2,0.5,1
202,3138084547,0.8082278383974655,0.6,0.6,0.5,3.6,3.6,0.2,0.4,1
203,1122716048,0.2884638969541196,0.2,0.2,0.0,2.3,0.2,0.0,0.0,1
204,1337678305,0.7968599400514179,2.2,2.6,1.4,2.9,2.9,0.8,0.3,0
205,761376188,0.3173945013556645,0.1,0.4,0.0,1.4,0.2,0.0,0.0,1
206,1198843740,0.4365081483009443,0.2,0.3,0.3,1.6,0.4,0.0,0.0,1
207,2364628874,0.40673978557586,0.1,0.2,0.2,0.8,0.4,0.0,0.0,1
208,1714082910,0.8288069415530707,0.6,1.0,1.2,4.1,4.1,0.0,0.1,1
209,830818718703837187,0.9270685798190942,0.4,1.2,1.0,4.9,4.9,0.0,0.2,0
210,2982526985,0.8963872382550993,0.8,0.6,0.4,4.7,4.7,0.3,0.2,0
211,1449933242,0.8252572897541253,1.2,2.8,1.8,4.1,4.1,0.6,0.2,1
212,1013118357925777409,0.8885263643630983,0.5,2.0,1.2,4.6,4.6,1.0,0.4,1
213,741328501094121472,0.8053088638387352,0.4,3.0,0.2,3.2,3.2,0.4,1.3,1
214,1260617916,0.7674214324358889,1.8,0.5,0.0,2.7,1.3,0.0,0.0,1
215,702253149189439488,0.4658392474232361,1.8,0.1,0.0,1.4,0.4,0.1,0.0,1
216,2367002093,0.3469210182245441,1.1,0.2,0.0,1.2,0.2,0.0,0.0,1
217,2976226983,0.7674214324358889,2.0,1.1,0.6,2.5,1.3,0.0,0.2,1
218,561125828,0.2884638969541196,0.2,0.0,0.0,0.6,0.2,0.0,0.0,0
219,494889421,0.3469210182245441,0.2,0.1,0.0,0.6,0.2,0.0,0.0,1
220,296318811,0.7053377817049258,0.4,0.6,0.3,1.5,1.0,0.2,0.2,1
221,2905469547,0.3469210182245441,0.0,0.2,0.0,1.2,0.2,0.0,0.0,1
222,1012332423290478593,0.813043153461001,0.6,0.9,0.1,3.8,3.8,0.3,0.9,1
223,55404019,0.8030212452554465,0.2,0.0,0.0,2.7,2.0,0.0,0.0,1
224,554630722,0.8252572897541253,0.4,0.4,0.0,4.1,4.1,0.0,0.0,0
225,1006016766,1.0,0.8,1.1,1.0,5.0,5.0,0.2,0.3,0
226,271466783,0.3173945013556645,0.3,0.1,0.0,1.0,0.2,0.0,0.0,1
227,781523989793497088,0.8057684213303521,0.4,1.1,0.1,3.4,3.4,0.0,0.2,0
228,2772451794,1.0,0.9,0.8,0.8,5.0,5.0,0.1,0.2,0
229,421858976,0.2603678379426137,0.8,0.2,0.0,0.5,0.1,0.0,0.0,1
230,923265879449759744,0.7874002196908744,0.6,0.4,1.2,3.0,1.7,0.0,0.2,1
231,951241980859830272,0.904303821618659,0.6,3.0,1.2,4.8,4.8,1.6,0.9,1
232,836505264706715649,0.7674214324358889,1.1,1.2,0.0,3.3,1.3,0.8,0.1,1
233,972313916578713600,0.8733944954488508,0.4,0.6,1.0,4.6,4.6,0.2,0.4,0
234,3825988815,0.6415870166679795,0.6,0.3,0.6,1.6,0.8,0.0,0.0,1
235,834243806899867648,0.91215021741272,0.7,2.2,1.2,4.8,4.8,0.1,0.6,0
236,948982405838397441,0.8885263643630983,0.4,0.6,0.7,4.6,4.6,0.2,0.5,0
237,1183194624,0.8060512678410475,0.0,0.5,0.2,3.4,3.4,0.2,0.0,0
238,2998556339,0.8963872382550993,0.5,0.3,0.5,4.7,4.7,0.1,0.2,0
239,503680418,0.7733457112766196,1.4,0.6,0.0,2.7,1.4,0.0,0.0,0
240,132962832,0.4658392474232361,0.4,0.8,0.1,0.8,0.4,0.0,0.0,1
241,456210073,0.8885263643630983,0.4,0.5,0.6,4.6,4.6,0.0,0.2,0
242,1268082668,0.7089830786080018,1.4,1.0,1.0,2.2,1.0,0.1,0.2,1
243,922839841,0.8327856038833207,1.2,2.3,0.1,4.2,4.2,1.8,0.6,0
244,250624869,0.8068955728616037,0.3,0.8,0.8,3.6,3.6,0.0,0.0,1
245,971039774726377474,0.5488888157824968,0.2,0.2,0.1,1.4,0.6,0.0,0.0,1
246,595846370,0.91215021741272,0.8,0.6,0.5,4.8,4.8,0.2,0.4,0
247,2985794427,1.0,0.4,1.1,1.0,5.0,5.0,0.1,0.0,0
248,468385317,0.3173945013556645,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0
249,2949953224,0.8372129323854712,0.5,1.7,0.4,4.2,4.2,0.1,0.2,1
250,761296330903916545,0.4658392474232361,0.0,0.2,0.0,1.4,0.4,0.0,0.0,1
251,1000029438233448448,0.6945161422354588,0.5,0.9,1.0,3.3,1.0,0.0,0.4,1
252,717335652791107584,0.5982419966968565,0.3,0.0,0.0,1.3,0.7,0.0,0.0,1
253,1006938498811809793,0.40673978557586,0.2,0.4,0.1,1.7,0.4,0.0,0.0,1
254,524420458,0.760577756485164,0.4,0.4,0.0,3.2,1.2,0.1,0.0,0
255,1012110155553570816,0.9197876419218656,0.7,2.5,2.0,4.8,4.8,0.4,0.6,0
256,1011632355419844608,0.8885263643630983,1.0,1.5,1.4,4.6,4.6,0.2,0.6,0
257,548914113,0.40673978557586,0.4,0.3,0.0,1.8,0.4,0.0,0.0,0
258,963823970507214848,0.7089830786080018,0.5,0.6,0.2,1.5,1.0,0.1,0.2,0
259,2996584924,0.91215021741272,1.1,1.4,0.8,4.8,4.8,0.2,0.3,0
260,993286910650015744,0.793087009461318,0.2,1.2,0.6,2.6,1.9,0.0,1.0,1
261,825402582579412992,1.0,0.6,2.2,1.6,5.0,5.0,1.2,0.2,0
262,2996521607,0.82211302959919,0.5,1.6,1.0,4.1,4.1,0.2,0.7,1
263,2535033852,0.40673978557586,0.6,0.6,0.0,2.4,0.4,0.2,0.0,0
264,2862813495,0.8199148539199458,0.6,2.0,2.0,4.1,4.1,0.2,0.2,1
265,942158304725295104,0.9338419498718862,0.6,4.1,1.7,5.0,5.0,0.8,0.6,0
266,834889075337400320,1.0,0.8,1.4,1.2,5.0,5.0,0.1,0.6,0
267,2919429628,0.91215021741272,0.8,1.1,1.1,4.8,4.8,0.5,0.4,0
268,1011334857966931968,0.812935016236137,1.1,2.0,1.8,4.0,4.0,0.8,0.7,1
269,1924501530,0.8054784364249085,3.8,2.1,0.2,3.2,3.8,0.1,0.0,0
270,560604863,0.7828265255249504,0.8,0.4,0.4,3.2,1.4,0.2,0.0,0
271,3017654309,0.8054092120440788,0.8,0.6,0.6,3.3,3.3,0.0,0.4,0
272,1003160464543510528,0.796599114745521,0.6,1.8,2.1,3.2,3.2,0.0,0.7,1
273,2729708935,0.7674214324358889,0.4,1.6,1.4,3.4,1.3,0.6,0.0,1
274,866147862,0.7733457112766196,2.7,1.4,0.0,2.6,1.4,0.0,0.0,1
275,549384602,0.9197876419218656,0.7,1.7,1.4,4.8,4.8,0.9,0.3,0
276,987694134529052672,0.8169336709169681,0.8,2.6,1.3,4.0,4.0,2.8,1.8,0
277,1011913641548009472,0.6608500314332488,0.0,0.6,0.2,1.2,0.8,0.0,0.0,1
278,53002473,0.376789963905683,0.2,0.0,0.0,0.5,0.3,0.0,0.0,1
279,2413775282,0.6207049850511144,1.9,1.0,0.4,1.9,0.8,0.0,0.0,1
280,3031331457,0.40673978557586,1.2,0.8,0.0,2.3,0.4,0.0,0.0,1
281,561480213,0.5222398722127631,0.4,0.4,0.1,1.6,0.6,0.0,0.0,1
282,1301400318,0.7176911080698488,1.3,0.5,0.1,2.1,1.1,0.0,0.1,1
283,549173992,1.0,0.8,1.4,0.8,5.0,5.0,0.2,0.3,0
284,3102059566,0.8421031637823202,0.8,0.6,1.2,4.3,4.3,0.4,0.8,0
285,197284836,0.40673978557586,1.1,0.6,0.0,1.8,0.4,0.0,0.0,1
286,1050774624,0.7437205366967014,0.7,0.0,0.0,0.8,1.2,0.0,0.0,1
