,Avg Node Count,Avg Max Depth,Number of Estimators,Basic Accuracy Score
0,2303,27,15,90.32%
1,2308,28,15,90.64%
2,2328,26,15,90.36%
3,2312,28,15,90.36%
4,2328,27,15,90.24%
5,2328,27,15,90.76%
6,2328,26,15,89.91%
7,2333,27,15,90.57%
8,2348,28,15,90.41%
9,2306,26,15,90.37%
10,2325,27,20,90.03%
11,2336,27,20,90.26%
12,2341,27,20,90.22%
13,2330,27,20,90.68%
14,2315,27,20,90.43%
15,2349,27,20,90.57%
16,2327,28,20,90.82%
17,2336,27,20,90.41%
18,2327,26,20,90.41%
19,2346,27,20,90.61%
20,2343,27,25,90.57%
21,2349,27,25,90.84%
22,2326,27,25,90.8%
23,2323,26,25,90.84%
24,2347,26,25,90.47%
25,2319,26,25,90.57%
26,2342,27,25,90.34%
27,2314,27,25,90.36%
28,2355,26,25,90.76%
29,2341,27,25,90.41%
30,2339,27,30,90.57%
31,2358,27,30,90.39%
32,2336,27,30,90.66%
33,2330,26,30,90.36%
34,2346,27,30,90.53%
35,2320,27,30,90.53%
36,2339,27,30,90.64%
37,2328,27,30,90.3%
38,2336,27,30,90.53%
39,2310,26,30,90.91%
40,2342,26,35,90.72%
41,2351,27,35,90.72%
42,2328,27,35,90.91%
43,2330,26,35,90.59%
44,2322,26,35,90.72%
45,2316,26,35,90.93%
46,2337,26,35,90.55%
47,2327,27,35,90.47%
48,2339,26,35,91.01%
49,2328,27,35,90.97%
